layer                    M      N      K        us    TFLOPS      GB/s      AI  %TCpeak      %BW
f_b_proj                 1   1536    128       4.3       0.1      93.1     1.0     0.0%     1.2%
f_b_proj                 8   1536    128       6.2       0.5      68.3     7.5     0.0%     0.9%
f_b_proj                16   1536    128       4.3       1.5     103.9    14.1     0.1%     1.3%
f_b_proj                64   1536    128       4.3       5.9     141.3    41.5     0.3%     1.8%
f_b_proj               256   1536    128       4.3      23.5     290.9    80.8     1.0%     3.6%
f_b_proj              1024   1536    128       4.6      87.0     821.7   105.9     3.9%    10.3%
f_b_proj              4096   1536    128       8.1     199.4    1736.6   114.8     8.9%    21.7%
f_b_proj             16384   1536    128      19.2     335.6    2860.9   117.3    14.9%    35.8%
f_b_proj             65536   1536    128      62.2     414.5    3514.6   117.9    18.4%    43.9%

q_b_proj                 1   2304   1536      12.4       0.6     569.5     1.0     0.0%     7.1%
q_b_proj                 8   2304   1536       8.1       7.0     881.8     7.9     0.3%    11.0%
q_b_proj                16   2304   1536       5.6      20.1    1279.9    15.7     0.9%    16.0%
q_b_proj                64   2304   1536       5.7      79.6    1331.0    59.8     3.5%    16.6%
q_b_proj               256   2304   1536       6.1     296.2    1478.3   200.3    13.2%    18.5%
q_b_proj              1024   2304   1536      10.0     726.4    1497.7   485.1    32.3%    18.7%
q_b_proj              4096   2304   1536      28.2    1026.3    1364.2   752.3    45.6%    17.1%
q_b_proj             16384   2304   1536      96.9    1196.3    1371.1   872.5    53.2%    17.1%
q_b_proj             65536   2304   1536     366.9    1264.1    1390.9   908.8    56.2%    17.4%

o_proj                   1   7168   1536       6.3       3.5    3485.5     1.0     0.2%    43.6%
o_proj                   8   7168   1536       5.7      30.6    3854.8     7.9     1.4%    48.2%
o_proj                  16   7168   1536       5.8      60.8    3850.8    15.8     2.7%    48.1%
o_proj                  64   7168   1536       7.4     189.9    3117.6    60.9     8.4%    39.0%
o_proj                 256   7168   1536       9.9     570.1    2677.5   212.9    25.3%    33.5%
o_proj                1024   7168   1536      28.0     806.5    1425.3   565.9    35.8%    17.8%
o_proj                4096   7168   1536      75.3    1197.6    1239.2   966.5    53.2%    15.5%
o_proj               16384   7168   1536     287.6    1254.5    1068.3  1174.3    55.8%    13.4%
o_proj               65536   7168   1536    1099.3    1312.8    1057.9  1241.0    58.3%    13.2%

fused_qkv_a_proj         1   2112   7168      10.2       3.0    2965.7     1.0     0.1%    37.1%
fused_qkv_a_proj         8   2112   7168      10.3      23.6    2966.6     8.0     1.0%    37.1%
fused_qkv_a_proj        16   2112   7168      10.5      46.2    2915.7    15.8     2.1%    36.4%
fused_qkv_a_proj        64   2112   7168      14.2     136.8    2220.9    61.6     6.1%    27.8%
fused_qkv_a_proj       256   2112   7168      17.2     451.1    2038.6   221.3    20.0%    25.5%
fused_qkv_a_proj      1024   2112   7168      35.1     883.2    1403.8   629.1    39.3%    17.5%
fused_qkv_a_proj      4096   2112   7168     111.7    1110.2     951.6  1166.7    49.3%    11.9%
fused_qkv_a_proj     16384   2112   7168     426.8    1162.3     783.4  1483.6    51.7%     9.8%
fused_qkv_a_proj     65536   2112   7168    1524.2    1301.9     817.9  1591.7    57.9%    10.2%

in_proj_qkvgfab          1   6288   7168      19.5       4.6    4617.7     1.0     0.2%    57.7%
in_proj_qkvgfab          8   6288   7168      18.9      38.2    4791.4     8.0     1.7%    59.9%
in_proj_qkvgfab         16   6288   7168      19.8      72.9    4575.6    15.9     3.2%    57.2%
in_proj_qkvgfab         64   6288   7168      18.4     312.7    4979.7    62.8    13.9%    62.2%
in_proj_qkvgfab        256   6288   7168      26.9     859.1    3612.5   237.8    38.2%    45.2%
in_proj_qkvgfab       1024   6288   7168      78.9    1170.6    1492.7   784.2    52.0%    18.7%
in_proj_qkvgfab       4096   6288   7168     321.2    1149.4     623.8  1842.7    51.1%     7.8%
in_proj_qkvgfab      16384   6288   7168    1162.1    1270.9     457.0  2781.0    56.5%     5.7%
in_proj_qkvgfab      65536   6288   7168    4566.7    1293.6     405.9  3186.7    57.5%     5.1%

dense_down_proj          1   7168   8448      27.9       4.3    4341.4     1.0     0.2%    54.3%
dense_down_proj          8   7168   8448      25.7      37.6    4713.1     8.0     1.7%    58.9%
dense_down_proj         16   7168   8448      26.5      73.1    4588.7    15.9     3.2%    57.4%
dense_down_proj         64   7168   8448      29.9     259.2    4117.3    63.0    11.5%    51.5%
dense_down_proj        256   7168   8448      33.9     915.7    3813.0   240.1    40.7%    47.7%
dense_down_proj       1024   7168   8448     132.2     937.8    1157.6   810.1    41.7%    14.5%
dense_down_proj       4096   7168   8448     389.6    1273.4     639.3  1991.9    56.6%     8.0%
dense_down_proj      16384   7168   8448    1551.1    1279.3     408.0  3135.6    56.9%     5.1%
dense_down_proj      65536   7168   8448    6019.4    1318.6     360.2  3661.1    58.6%     4.5%

dense_gate_up_proj       1  16896   7168      42.7       5.7    5676.2     1.0     0.3%    71.0%
dense_gate_up_proj       8  16896   7168      39.6      48.9    6127.5     8.0     2.2%    76.6%
dense_gate_up_proj      16  16896   7168      40.8      95.0    5956.2    15.9     4.2%    74.5%
dense_gate_up_proj      64  16896   7168      42.3     366.8    5803.7    63.2    16.3%    72.5%
dense_gate_up_proj     256  16896   7168      61.1    1015.5    4168.6   243.6    45.1%    52.1%
dense_gate_up_proj    1024  16896   7168     217.2    1142.2    1342.4   850.9    50.8%    16.8%
dense_gate_up_proj    4096  16896   7168     850.3    1166.8     516.7  2258.2    51.9%     6.5%
dense_gate_up_proj   16384  16896   7168    3046.2    1302.8     338.4  3850.2    57.9%     4.2%
dense_gate_up_proj   65536  16896   7168   12122.4    1309.5     280.2  4673.9    58.2%     3.5%

